"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"3034358",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Paraburkholderia sp. SUR17"
"2917715",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Marinobacter sp. M3C"
"3133286",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Sorangium sp. So ce176"
"1499308",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Paracoccus mutanolyticus"
"2992573",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Lysobacter auxotrophicus"
"2161816",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Tessaracoccus timonensis"
"31965",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Clavibacter tessellarius"
"2316359",12.5175814509013,30.901603682317,5.01235915366907,6.1650816980457,7.04467590546899e-10,5.44724804474237e-08,"Deinococcus sp. RM"
"712624",77.7607332555989,30.8647742561192,5.01051820728876,6.15999642735965,7.27465854601021e-10,5.58732834902959e-08,"Streptococcus sp. oral taxon 064"
"2919322",115.177284727579,26.0773228904498,4.2387229584636,6.15216496713483,7.64323128127201e-10,5.79265819754152e-08,"Amycolatopsis sp. EV170708-02-1"
"184924",43.7767938130368,-30.2318148390474,4.91395513607338,-6.15223664072867,7.63977691390734e-10,5.79265819754152e-08,"Pseudoalteromonas maricaloris"
"1813019",76.5327591738211,-21.800807307876,3.55010397137577,-6.14089262840026,8.20590391408593e-10,6.13780159430062e-08,"Campylobacter hepaticus"
"3081749",34.4598070887067,26.4312513740496,4.30397730261045,6.1411223888236,8.19404173753548e-10,6.13780159430062e-08,"Congregicoccus parvus"
"315405",206.697313025299,-23.6423791641944,3.85334147172866,-6.13555256850574,8.48636968580604e-10,6.30636458989379e-08,"Streptococcus gallolyticus"
"3379131",36.6763950789968,-27.5354003773075,4.49154847638498,-6.13049163825776,8.76079218901781e-10,6.4682906974916e-08,"Acinetobacter sp. SEK541"
"1176482",100.092848927513,-20.9024213360631,3.4127025969781,-6.12488804461659,9.07473916709597e-10,6.65713557873374e-08,"Sulfurimonas gotlandica"
"51365",106.226148484883,-22.779187144899,3.72123093163076,-6.12141185629573,9.27498217665372e-10,6.67565383834121e-08,"Mycoplasma yeatsii"
"3427230",37.4230535491558,-30.0994065743653,4.91589277209768,-6.12287695639087,9.1900663629681e-10,6.67565383834121e-08,"Betaentomopoxvirus mseparata"
"1323948",38.5757499929529,25.04956745443,4.09181039885561,6.12187882934064,9.24783412410671e-10,6.67565383834121e-08,"Nitrospina watsonii"
"3039154",64.5677475803951,27.062217609727,4.42350068434874,6.1178282859724,9.48592007589695e-10,6.78480433428529e-08,"Bradyrhizobium sp. CB1717"
"1264",50.5731976889937,-21.3478833036419,3.49199441151584,-6.11337842730826,9.75436874963113e-10,6.87710837760587e-08,"Ruminococcus albus"
"1675036",43.0970449058262,-30.1387714644264,4.93050797107706,-6.11271123406026,9.79525223304576e-10,6.87710837760587e-08,"Megasphaera hexanoica"
"1050655",21.9635098098729,-31.2382553444366,5.11017639727277,-6.11295049640714,9.78057181606918e-10,6.87710837760587e-08,"Synechococcus sp. A15-60"
"549298",83.9457332597081,-20.9290477119215,3.42448982701015,-6.11158121914884,9.86487743456851e-10,6.88375959519525e-08,"Francisella halioticida"
"3050131",53.8592845405699,-21.426095866363,3.50771382894655,-6.10827932699339,1.00710983079229e-09,6.98506963853758e-08,"Ligilactobacillus cholophilus"
"3231173",32.5694592176584,26.2622457021978,4.30092341443598,6.10618771170139,1.02038993652059e-09,7.03454363466363e-08,"Streptomyces sp. C1-1"
"2026193",70.695102415912,-22.2559803518176,3.64810418123602,-6.1006975804833,1.05606550513911e-09,7.23689439569579e-08,"Bacillus nitratireducens"
"2653200",44.3688949350475,26.5458403776514,4.35220595268083,6.09939894073715,1.06468046323133e-09,7.25250191739249e-08,"Streptomyces phaeolivaceus"
"2954530",53.2409239263647,30.5488581932672,5.01068083462793,6.09674796729208,1.08247981546748e-09,7.30939050596584e-08,"Paenibacillus sp. FSL R7-0163"
"3395918",47.6047415784276,30.5467735931752,5.01074218485644,6.09625729407796,1.08580599966287e-09,7.30939050596584e-08,"Paracoccus sp. TD-10"
"2903788",33.6854749127257,26.26955512844,4.31025008972497,6.09467074568665,1.09662926809367e-09,7.33907914857541e-08,"Streptomyces sp. NBC_01235"
"29320",7.81057968771703,30.538331734031,5.01367758191089,6.09100430474664,1.12204533636637e-09,7.46551559847482e-08,"Paenarthrobacter nicotinovorans"
"2217832",56.8663186132315,30.5033024354538,5.01064800855247,6.08769611902272,1.14547019644419e-09,7.57731845555338e-08,"Bacillus sp. JAS24-2"
"658629",21.3049101956624,-31.0848124067327,5.11018571775153,-6.08291246612656,1.18018787864829e-09,7.76210924324772e-08,"Pseudomonas sessilinigenes"
"2144",84.4211955112192,-21.882996909328,3.60469970119291,-6.07068513975969,1.27365687107612e-09,8.305974085844e-08,"Spiroplasma mirum"
"2587850",45.708138328291,30.4164242768276,5.01076601123844,6.07021445595501,1.27739552526087e-09,8.305974085844e-08,"Roseovarius sp. THAF27"
"2493672",65.907203832489,27.676578422049,4.56439330206604,6.06358317315062,1.33121889466058e-09,8.53230773238004e-08,"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1"
"485880",25.9834645268708,30.3839374984854,5.01122235784727,6.06317886710934,1.33457102769663e-09,8.53230773238004e-08,"Pseudomonas kurunegalensis"
"296544",25.9834645268708,30.3839374984854,5.01122235784727,6.06317886710934,1.33457102769663e-09,8.53230773238004e-08,"Sphingomonas bisphenolicum"
"2187",191.778729280631,-21.4495695622952,3.54269838754671,-6.05458529512269,1.40779865759997e-09,8.57137893545071e-08,"Methanococcus vannielii"
"2857077",31.7432817499703,24.7328508746439,4.08355525880244,6.05669552807697,1.38946224116154e-09,8.57137893545071e-08,"Anthocerotibacter panamensis"
