,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
1517,620.3428672,310.1328144,374.7759492,347.1764973
2060973,681.1607953,317.8861347,602.90044,502.807341
1588,155.6938961,798.591997,847.3195372,634.4949779
333140,48.65434252,0,0,0
1507512,272.4643181,263.6128922,521.4274075,395.0629108
2778902,53.51977677,0,0,0
246432,437.8890827,573.7457066,619.1950464,574.6369611
1335,209.2136728,635.7722695,423.6597686,957.7282685
3239899,36.49075689,124.0531258,0,0
2845819,233.5408441,0,0,0
5868,287.0606209,480.7058623,382.9232524,658.4381846
4909,454.9181026,1108.724811,977.6763891,1424.620799
1392,931.7306593,1705.730479,0,0
727,260.3007325,387.666018,350.3340394,478.8641343
1714848,226.2426927,224.8462904,334.0394329,490.8357376
1076,204.3482386,255.8595719,171.0933681,323.2332906
52584,267.5988839,697.7988323,692.5207756,802.0974249
29176,488.9761423,620.2656288,741.4045951,861.9554417
104268,226.2426927,356.6527365,342.1867362,191.5456537
756892,250.569864,1124.231452,790.2884145,957.7282685
930124,206.7809557,162.8197275,285.1556135,155.6308436
5665,321.1186606,457.4459012,448.1016783,407.0345141
1561,282.1951866,302.379494,505.132801,359.1481007
1912,3135.772376,0,0,0
169679,240.8389955,721.0587934,659.9315627,670.409788
36651,321.1186606,341.1460958,635.4896529,419.0061175
113287,46.2216254,0,0,0
1509,501.139728,395.4193383,366.6286459,1053.501095
2608089,508.4378794,628.0189491,554.0166205,730.2678048
5007,559.524939,783.0853563,741.4045951,861.9554417
1155739,231.108127,441.9392605,659.9315627,730.2678048
1648,211.64639,379.9126976,334.0394329,502.807341
1685970,72.98151378,0,741.4045951,359.1481007
4959,406.2637601,480.7058623,407.3651621,347.1764973
553611,634.9391699,503.9658234,627.3423497,562.6653578
1534,180.0210673,1147.491413,936.9398729,1149.273922
1354,620.3428672,480.7058623,423.6597686,634.4949779
1191912,153.2611789,612.5123084,668.0788659,610.5517712
3139729,0,0,1197.653577,0
672,321.1186606,651.2789102,773.993808,814.0690283
1054033,133.7994419,395.4193383,236.271794,359.1481007
2850,688.4589467,395.4193383,293.3029167,478.8641343
29562,605.7465644,604.758988,643.6369562,634.4949779
1393,299.2242065,628.0189491,602.90044,610.5517712
3028315,126.5012906,0,195.5352778,0
5872,180.0210673,410.9259791,309.5975232,215.4888604
2576904,277.3297524,201.5863293,415.5124654,203.5172571
28037,155.6938961,317.8861347,277.0083102,143.6592403
201,343.0131148,480.7058623,472.5435881,442.9493242
182096,425.7254971,581.499027,741.4045951,454.9209276
856,338.1476805,628.0189491,554.0166205,359.1481007
412384,223.8099756,325.6394551,391.0705556,478.8641343
182773,99.74140217,162.8197275,211.8298843,203.5172571
38304,63.25064528,255.8595719,195.5352778,0
1617448,291.9260551,286.8728533,252.5664005,442.9493242
247,274.8970352,294.6261737,374.7759492,383.0913074
5875,284.6279038,395.4193383,431.8070719,586.6085645
190893,323.5513778,434.1859401,391.0705556,419.0061175
654,287.0606209,310.1328144,407.3651621,598.5801678
1042133,630.0737357,496.212503,488.8381946,0
80884,530.3323335,721.0587934,431.8070719,514.7789443
419475,493.8415766,0,0,0
