"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"587",2066.51489822834,1967.6693445813,3116.94920645018,4756.08972298991,2525.71279781278,4553.61723961006,1279.0108982387,1579.5993143793,1478.42379530417,1084.22047084335,0,0,0,3235.15661524077,4026.78278784473,0,1911.18182588475,1160.16364413507,1023.58046268015,695.23904283369,173.288201383995,1288.07866350824,1016.87575870365,1449.87090721602,1336.15773179078,1532.36522967521,1911.19125784128,1446.84652355993
"1496",1713.69528145765,659.513481977526,2480.83712350116,921.224585984532,1137.00473028685,2148.537711647,2011.77755868795,1040.92211820712,1566.25095146086,792.558823715896,1338.84259366127,1815.52670008288,8037.94308537194,935.016362786349,1732.45305988669,867.483815001044,1110.93327810049,848.751297551444,555.346846773272,180.339286602657,111.674618669686,1663.87626151366,909.836205155901,1178.50469463548,2501.22209548639,6237.20534891238,801.467301675375,723.423261779965
"3021011",0,45060.7151010469,0,0,0,0,0,15.6138317731067,0,0,0,0,0,0,0,0,0,0,59.8903462206469,31.0929804487339,0,62.2009817388285,38.9234740173647,0,0,0,0,0
"5827",1663.29247906184,804.461499994564,4357.36776820076,2035.26362019838,2352.12428937204,3302.97588506927,1771.96301526819,818.858732989598,2869.02043445167,1280.77505912489,2100.59786246855,2920.62990882899,2096.85471792312,2505.84385226742,3464.90611977338,1381.54829796463,1176.83609968273,1056.35952860719,343.008346536432,114.422168051341,581.478186866295,673.843968837308,1194.46410890788,767.578715584949,798.435717777416,1448.56400617735,631.926141705584,545.907791211266
"546",1058.45885031208,982.022822065437,0,1992.41596503631,564.162652432409,0,1518.82544165845,937.69734148491,2210.31676327654,1585.11764743179,7409.80125112532,2920.62990882899,0,0,3137.14473006508,2056.25793185433,2862.06539442839,2076.08231055749,1058.97021271962,930.301975026118,0,1054.82498198763,1065.53010122536,1054.45156888437,928.792569659443,1173.21712897008,2573.94306499592,2405.04831093075
"40559",1318.87332935711,739.234891886897,3435.00524792468,1349.70113760524,2074.38267586686,2148.537711647,1705.34786431826,1430.40047743628,1419.87235786639,729.154117818625,1061.84067773135,1618.18684137822,1647.52870693959,1813.93174380552,2903.02945170202,979.935420649328,2155.96373461875,1911.21695060145,756.796193151811,276.105666384757,342.725553848346,1461.72307086247,1722.36372526839,1697.97715871822,1678.3444679811,2262.6330344423,1433.39344338096,1267.42228449049
"208348",2688.14946111004,1319.02696395505,3657.64447695684,2785.09758553463,1631.73197934297,2950.23088763468,2704.57512856724,1504.99989590779,1610.1645295392,786.218353126169,946.423212760555,2170.73844575127,1497.75336994508,1365.12388966807,1264.22250316056,1028.12896592716,1148.59203329034,1178.48201746352,577.12515448987,197.751355653948,616.135827143094,1371.01330582668,1515.58276955114,1666.96387728045,1279.12660909239,1676.02446995726,739.815970777269,1007.82976839003
"5821",3418.99009584933,1688.6444098985,4420.97897649566,3492.08389570881,2369.48314021612,3527.44997434582,2597.99088704735,835.33999986121,1566.25095146086,697.451764869989,877.172733778075,1973.39858704661,2346.48027958063,991.11734455353,1685.63000421408,1092.38702629761,583.710705442632,738.841057580753,340.286058071857,104.472414307746,96.2712229911084,1132.57620916117,722.516986447333,1403.35098505935,1482.80919015806,1197.16033568376,647.338974430111,339.760793131487
"85471",1780.8990179854,786.342997742435,2449.03151935371,1328.27731002421,1284.55496246149,1378.91226269882,1745.31695488822,2129.55316683206,1624.80238889865,741.835058998079,623.254310842317,3196.90571101551,1997.00449326011,2169.23796166433,2668.91417333895,1124.51605648283,950.883568543642,1031.93503083593,552.624558308697,212.67598626934,196.393294901861,2091.50801096811,778.469480347295,2682.6488443676,2044.9731138993,2095.03058744658,1325.50361430927,1242.60829398089
"587753",268.814946111004,246.411630628966,0,942.648413565568,1110.96645402074,0,0,200.37750775487,395.222202705076,405.790117742539,2100.59786246855,0,0,4731.18279569892,8990.02668914173,2377.54823370657,6524.37933664103,3779.69103010319,1693.26342496556,1188.99557235958,184.840748142928,406.898088874836,2697.88329282859,767.578715584949,611.047743197002,670.409787982905,863.118632573481,536.363948707573
