,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
40410,403.2224192,228.2931284,1049.584937,471.3242068,190.9473593,0,479.6290868
76335,646.8359641,583.4157725,0,1349.701138,789.8277134,994.0995382,572.8902982
548,243.6135449,123.2058153,0,257.085931,156.2296576,448.9481786,199.8454528
172371,512.428491,822.5800022,0,0,0,0,0
324770,1024.856982,467.4573581,1367.640978,856.9531032,147.5502322,1250.641355,186.5224227
1517,504.028024,394.9833491,890.5569161,1071.191379,1293.234388,1314.776809,1065.842415
2060973,982.8546467,478.3284595,731.5288954,814.1054481,451.3301219,1122.370446,879.3199925
1588,0,47.10810586,0,0,0,0,0
333140,0,166.6902207,0,0,0,0,0
1507512,142.8079401,231.9168288,318.0560415,0,164.909083,0,0
2778902,1058.45885,373.2411464,3466.810852,1799.601517,277.7416135,4361.210877,452.9830265
246432,0,170.3139212,0,0,156.2296576,0,532.9212076
1335,1159.264455,692.126786,2130.975478,1328.27731,546.8038016,1956.131349,999.2272642
3239899,529.2294252,221.0457275,413.4728539,856.9531032,0,513.0836326,9552.612646
2845819,1159.264455,681.2556847,1590.280207,2078.111275,546.8038016,1314.776809,346.3987849
5868,1545.68594,739.2348919,1908.336249,535.5956895,859.2631168,545.1513597,452.9830265
4909,823.2457725,427.5966532,667.9176871,642.7148274,208.3062101,801.693176,586.2133284
1392,0,0,0,0,0,0,0
727,512.428491,394.9833491,890.5569161,642.7148274,529.4449507,1058.234992,306.4296944
1714848,495.6275569,510.9417635,1208.612958,407.052724,442.6506965,0,373.0448453
1076,445.2247545,478.3284595,349.8616456,642.7148274,407.9329948,320.6772704,199.8454528
52584,420.0233533,242.7879302,2258.197894,385.6288965,512.0860999,1218.573628,346.3987849
29176,512.428491,297.1434369,890.5569161,685.5624826,364.5358677,1154.438173,266.4606038
104268,579.6322276,329.756741,667.9176871,514.1718619,416.6124203,0,479.6290868
756892,462.0256886,452.9625563,858.751312,1285.429655,590.2009287,705.4899949,945.9351435
