,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
1795815,1150.863988,1079.862734,3085.143602,4413.308482,1727.205659,3719.856337,2504.729676
1404,2083.315832,1380.629872,1940.141853,2056.687448,2117.779803,2308.876347,3024.327853
1929291,336.0186826,663.1371824,0,642.7148274,225.665061,0,226.4915132
27350,2469.737317,1315.403264,3307.782831,2206.654241,1874.755891,3367.111339,2384.822404
192812,4393.444276,3359.170318,0,0,0,0,0
450367,940.8523114,496.4469617,1876.530645,1114.039034,364.5358677,1058.234992,386.3678755
1406,2990.566275,1558.191194,1431.252187,3342.117103,1050.210476,2405.079528,1092.488476
1282,814.8453054,413.1018513,2449.031519,1028.343724,668.3157575,1795.792714,759.4127208
44689,2553.741988,1431.361678,3435.005248,2335.197206,2187.215206,3302.975885,2491.406646
3344828,0,0,2035.558665,835.5292757,477.3683982,929.9640841,373.0448453
5825,1293.671928,637.7712793,2957.921186,1392.548793,1189.081283,1218.573628,1385.59514
1653831,1671.692946,1050.873131,2003.753061,2485.163999,1640.411405,1795.792714,1505.502411
587,2066.514898,1967.669345,3116.949206,4756.089723,2525.712798,4553.61724,1279.010898
1496,1713.695281,659.513482,2480.837124,921.224586,1137.00473,2148.537712,2011.777559
3021011,0,45060.7151,0,0,0,0,0
5827,1663.292479,804.4615,4357.367768,2035.26362,2352.124289,3302.975885,1771.963015
546,1058.45885,982.0228221,0,1992.415965,564.1626524,0,1518.825442
40559,1318.873329,739.2348919,3435.005248,1349.701138,2074.382676,2148.537712,1705.347864
208348,2688.149461,1319.026964,3657.644477,2785.097586,1631.731979,2950.230888,2704.575129
5821,3418.990096,1688.64441,4420.978976,3492.083896,2369.48314,3527.449974,2597.990887
85471,1780.899018,786.3429977,2449.031519,1328.27731,1284.554962,1378.912263,1745.316955
587753,268.8149461,246.4116306,0,942.6484136,1110.966454,0,0
210,1730.496216,982.0228221,2226.39229,2292.349551,1423.425769,2020.266803,1052.519385
303,302.4168144,587.039473,0,1799.601517,1041.531051,1924.063622,1092.488476
28198,630.0350299,1891.571635,795.1401037,664.138655,512.0860999,962.0318112,452.9830265
3140245,478.8266228,384.1122477,1876.530645,856.9531032,486.0478236,1346.844536,413.0139359
3140244,294.0163473,0,1908.336249,449.9003792,303.7798898,673.4222678,346.3987849
3425945,1814.500886,3004.047673,0,0,0,0,0
3410088,0,0,1908.336249,599.8671723,243.0239118,673.4222678,506.2751472
1583098,2604.14479,1348.016568,3880.283706,2570.85931,9859.827279,3399.179066,10471.90173
1358,772.8429701,539.9313671,1526.668999,792.6816205,798.5071388,1154.438173,0
358,940.8523114,992.8939234,0,1778.177689,598.8803541,0,586.2133284
29448,0,199.3035248,2671.670748,0,676.9951829,0,0
41,285.6158802,0,922.3625203,942.6484136,468.6889728,2148.537712,146.5533321
1267423,134.4074731,159.4428198,349.8616456,214.2382758,130.1913813,0,173.1993925
1520,1083.660252,779.0955968,890.5569161,1199.734345,1397.387493,2469.214982,1292.333928
68213,0,0,0,0,0,0,0
2562892,562.8312934,405.8544504,1749.308228,1071.191379,1631.731979,994.0995382,2264.915132
5860,1755.697617,1112.476038,2957.921186,1671.058551,2109.100378,1827.860441,2864.451491
1404443,0,0,1113.196145,492.7480344,295.1004643,769.6254489,0
1352,890.449509,1145.089342,2321.809103,1863.873,1154.363581,2340.944074,1305.656959
5861,1386.077066,884.1829099,922.3625203,1478.244103,1024.1722,1250.641355,1025.873325
2761107,243.6135449,112.334714,0,449.9003792,512.0860999,352.7449974,1332.303019
1492,1125.662587,982.0228221,2417.225915,1413.97262,659.6363321,2244.740893,1798.609076
1117645,1276.870994,786.3429977,1653.891416,1499.667931,1015.492774,1507.183171,1239.041808
2058762,798.0443713,847.9459054,954.1681244,1221.158172,893.9808185,801.693176,1185.749687
288000,0,61.60290766,1844.725041,321.3574137,164.909083,929.9640841,159.8763623
911045,0,137.7006171,0,0,0,0,0
1071379,1612.889677,858.8170068,1971.947457,1499.667931,1475.502322,1763.724987,1598.763623
1442551,453.6252216,423.9729527,0,1585.363241,1241.157835,833.760903,0
40324,991.2551138,630.5238784,1049.584937,2163.806586,546.8038016,2180.605439,919.2890831
28031,949.2527785,601.5342748,2035.558665,1842.449172,1232.47841,2148.537712,932.6121133
1325100,0,50.73180631,1526.668999,257.085931,303.7798898,384.8127245,0
145971,1932.107425,880.5592095,2258.197894,1713.906206,1015.492774,2052.334531,1518.825442
238834,865.2481078,771.8481959,1176.807353,1371.124965,1640.411405,1443.047717,972.5812039
1296,949.2527785,674.0082838,985.9737286,1156.886689,789.8277134,1314.776809,826.0278718
197,2494.938719,1358.887669,2798.893165,1885.296827,2004.947272,0,1345.626049
48296,873.6485749,405.8544504,954.1681244,1006.919896,1006.813349,897.8963571,519.5981774
585,1444.880335,1076.239034,1399.446582,2099.535103,902.6602439,2565.418163,692.7975699
94643,3024.168144,1416.866876,4420.978976,1671.058551,946.057371,833.760903,1265.687868
907046,0,90.59251126,954.1681244,0,642.2774812,0,319.7527246
2306583,2637.746659,1529.20159,4802.646226,3085.031172,1267.196112,6189.071319,6315.11631
28197,1344.074731,2750.388642,2767.087561,2163.806586,1518.899449,3495.382247,1718.670895
316,470.4261557,413.1018513,445.2784581,1521.091758,633.5980558,962.0318112,426.3369661
27289,1260.07006,731.987491,1844.725041,1156.886689,1336.631515,1667.521806,1638.732713
