Gene_Family,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
2.7.12.1-RXN: (expasy) cAMP-dependent protein kinase [2.7.11.11],0,0,0,14.9897,0,0
2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3],0,7.65887,986.019,412.25,594.877,0
2.7.3.9-RXN: (expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9],0,56.955,86.9276,49.4108,56.7309,0
2.7.7.1-RXN: (expasy) Nicotinamide-nucleotide adenylyltransferase [2.7.7.1],21.4581,0,0,8.39574,0,0
2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13],0,0,55.1875,61.1588,0,0
2.7.7.15-RXN: (expasy) Choline-phosphate cytidylyltransferase [2.7.7.15],0,0,0,2.42145,0,0
2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33],0,0,0,23.5553,0,0
2.7.7.60-RXN: (expasy) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [2.7.7.60],0,0,91.2132,58.0944,46.9145,0
2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8],131.002,50.829,145.094,186.054,61.9766,0
2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11],0,0,0,4.25463,9.49394,0
2.7.8.24-RXN: (expasy) Phosphatidylcholine synthase [2.7.8.24],0,0,0,19.4644,0,0
2.7.8.25-RXN: (expasy) Triphosphoribosyl-dephospho-CoA synthase [2.4.2.52],0,0,0,0,0,0
2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6],0,0,71.4414,23.3568,0,0
"2.7.9.3-RXN: (expasy) Selenide, water dikinase [2.7.9.3]",0,22.822,0,26.5958,39.7816,0
2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6],0,0,78.0214,96.6808,24.0977,0
2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17],21.5371,20.6484,0,0.991679,27.2881,0
2.8.3.7-RXN: (expasy) Succinyl-CoA--L-malate CoA-transferase [2.8.3.22],0,27.6777,16.1688,2.33003,0,0
2.8.3.9-RXN: (expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9],0,0,0,4.21019,0,0
2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1],0,0,0,33.7436,23.4637,0
"24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN: (expasy) 2,4-diaminopentanoate dehydrogenase [1.4.1.12]",0,0,0,0,0,0
"24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN: (expasy) 2,4-dichlorophenol 6-monooxygenase [1.14.13.20]",0,0,0,6.2699,0,0
"25-DIOXOVALERATE-DEHYDROGENASE-RXN: (expasy) 2,5-dioxovalerate dehydrogenase [1.2.1.26]",0,0,0,13.8732,0,0
2OXOGLUTDECARB-RXN: (expasy) Oxoglutarate dehydrogenase (succinyl-transferring) [1.2.4.2],22.4024,73.6988,41.9784,176.058,39.532,0
2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11],46.4732,18.74,98.8523,248.509,85.1901,0
2TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],49.4653,0,79.4018,275.415,169.875,0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11],54.7154,103.436,111.439,181.028,23.9581,0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: (expasy) 3-dehydroquinate dehydratase [4.2.1.10],62.9564,20.6484,87.0021,129.81,60.1782,13.3464
3-DEHYDROQUINATE-SYNTHASE-RXN: (expasy) 3-dehydroquinate synthase [4.2.3.4],0,63.1942,28.1724,124.042,77.7892,3.36914
3-DEHYDROSPHINGANINE-REDUCTASE-RXN: (expasy) 3-dehydrosphinganine reductase [1.1.1.102],0,0,0,4.09367,0,0
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydratase [4.2.1.55],0,0,33.1188,21.1381,12.0643,0
3-HYDROXY-KYNURENINASE-RXN: (expasy) Kynureninase [3.7.1.3],0,0,0,42.5762,0,0
3-HYDROXYASPARTATE-ALDOLASE-RXN: (expasy) 3-hydroxy-D-aspartate aldolase [4.1.3.41],0,0,0,3.04984,0,0
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN: (expasy) 3-hydroxybenzoate 6-monooxygenase [1.14.13.24],0,0,0,5.21404,67.4163,0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30],0,16.0562,67.7522,39.6442,29.2606,0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyryl-CoA dehydrogenase [1.1.1.157],0,14.786,101.972,145.38,45.0231,0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: (expasy) 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [4.2.1.59],21.9011,16.2606,157.525,207.314,190.138,0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxyisobutyrate dehydrogenase [1.1.1.31],0,0,12.1393,72.7022,13.5855,0
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN: (expasy) 3-hydroxyisobutyryl-CoA hydrolase [3.1.2.4],0,0,17.8622,3.06346,0,0
