Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
2.4.1.244-RXN: (expasy) acetylgalactosaminyltransferase [2.4.1.244],92.6634,0,0,0,0,0
2.4.1.32-RXN: (expasy) Glucomannan 4-beta-mannosyltransferase [2.4.1.32],0,0,0,0,0,0
2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54],0,0,0,0,0,0
2.4.1.83-RXN: (expasy) Dolichyl-phosphate beta-D-mannosyltransferase [2.4.1.83],0,0,0,0,0,40.5231
2.4.2.12-RXN: (expasy) Nicotinamide phosphoribosyltransferase [2.4.2.12],0,0,0,0,0,0
2.4.2.31-RXN: (expasy) NAD(+)--protein-arginine ADP-ribosyltransferase [2.4.2.31],4.85555,0,0,0,0,0
2.4.2.37-RXN: (expasy) NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase [2.4.2.37],0,0,0,0,0,0
2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19],0.699232,0,62.9673,58.3549,0,0
2.5.1.39-RXN: (expasy) 4-hydroxybenzoate polyprenyltransferase [2.5.1.39],0,0,0,0,0,0
2.5.1.44-RXN: (expasy) Homospermidine synthase [2.5.1.44],0,0,0,0,0,0
2.5.1.46-RXN: (expasy) Deoxyhypusine synthase [2.5.1.46],1.08171,0,0,63.6134,0,0
2.5.1.64-RXN: (expasy) synthase [2.2.1.9],0,0,0,0,0,0
"2.5.1.68-RXN: (expasy) (2Z,6E)-farnesyl diphosphate synthase [2.5.1.68]",0,0,0,0,0,0
2.6.1.18-RXN: (expasy) Beta-alanine--pyruvate transaminase [2.6.1.18],0,0,19.5631,38.1056,0,0
2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37],0,0,35.0775,0,0,0
2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50],0,0,27.4135,0,0,0
2.6.1.57-RXN: (expasy) Aromatic-amino-acid transaminase [2.6.1.57],0,0,0,0,0,0
2.6.1.82-RXN: (expasy) Putrescine--2-oxoglutarate transaminase [2.6.1.82],0,0,0,0,0,0
2.7.1.121-RXN: (expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121],0,0,0,0,0,0
2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148],0,0,111.367,0,0,0
2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156],0,0,0,0,0,0
2.7.1.63-RXN: (expasy) Polyphosphate--glucose phosphotransferase [2.7.1.63],0,0,16.4364,0,0,0
2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90],0,0,0,0,0,0
2.7.11.24-RXN: (expasy) Mitogen-activated protein kinase [2.7.11.24],0,0,0,0,0,0
2.7.11.30-RXN: (expasy) Receptor protein serine/threonine kinase [2.7.11.30],0,0,0,0,0,0
2.7.12.1-RXN: (expasy) cAMP-dependent protein kinase [2.7.11.11],0,0,0,0,0,0
2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3],3.90377,0,352.717,0,0,297.622
2.7.3.9-RXN: (expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9],0,0,0,0,0,48.5077
